,0,tweet
1523621,0,Microsoft Stops Paying For Employees' iPhones  http://bit.ly/2Kz4ht
1134613,0,@scrillabobbyo...During the reg. season im not a fan...but i hate the Cavs! u cant tell me nothin abt my L A K E R S 
1169124,0,is out the backk  ohhhhh warmthhh 
904054,0,"@nsingman haha!  yes, there's a lot to be said for nekkid religion "
841332,0,im happy becouse now i m a Twitter-er! 
1307650,0,@kailaengland Aww.. flattery will get you................well..... pretty much everywhere! ;)  &lt;3 for my Favorite twitter friend. 
1471531,0,moshimoshi 
1284744,0,Wow i cant believe im just walking in my house now super drunk this is the life 
1358518,0,one in the samee  mannn FML jkkk
1201896,0,I hate Sunday nights. Gotta get ready for work and sleep soon but at least I got a new toy to play with   http://twitpic.com/6dh6g
1012398,0,@DayleRobyn One needs to be (a) patient enough to wait for @Therapeutic_C ?  (phun intended)
1075498,0,finished up the main HC designs for &quot;Loving Touch Wetbags&quot; and &quot;PNPBaby&quot; - wahoo! They look beautiful. 
1129908,0,@DonnieWahlberg Ohh.. can`t wait to see you soon!!! Only 2 more weeks!!! LOVE YA!! 
1312088,0,my modem died but I am back 
812053,0,I think i want a blackberry type phone  pronto
1166874,0,@Chad_Lad see you later  x
1385937,0,@steatopygia I should cut my fringe it too long. Thats all. I wanna keep my long hair ! 
1416661,0,one step back 21 steps forward 
1378682,0,@SonnyLovato ugh D: do you know anyone else? im sure you do 
1302446,0,"thanks for the follow @DwntwnKalamazoo! i just hitcha back, looking forward to your tweets, love your downtown area! (and bell's rocks) "
997864,0,@_ishtahar_ excellent stuff! well done! 
839136,0,@convoy83 I see 
1281872,0,http://bit.ly/WXs0 watch this  Hope the ANTM fans like it !
1080925,0,"Going to visit Alaina, because I reeeeeally don't wanna be here anymore. Plus, I'm hungry. "
847072,0,sunshine is awesome 
996948,0,"@bradbaumn lunch, gladly. the editor is out to lunch already, though. "
849616,0,@noelia89 Welcome...in the wonderful world of...Twitter... 
1022056,0,going to get some sun.....then a manicure and pedicure 
1362203,0,"goddamn!  I meant to write: He sounds perfect, E."
956720,0,"@vriezzy actually brown,but i change it to b blonde,as u can c at my myspace. "
1477113,0,@RealAudreyJones : I highly recommends you join www.m2e.asia You can earn money from free shareholder by dividends. Even you do NOTHING! 
1560684,0,This is a deal: Play Whistler Golf Club anytime after 6pm in June for $29. Just enough time for nine and afterwards a glass of wine 
990941,0,And remember always stop for regular tweet breaks itll help with ya mind !! ha  @mmbopidy
911424,0,@_supernatural_ http://twitpic.com/4w8cw - Mishaaaaaaaa!!! 
1512386,0,@miss jayz: Thank you. 
889914,0,"hmm, what to do on a rainy sunday..NOTHING!! "
934405,0,@daisyhamilton She's going to be Darla-Belle 
1361616,0,I think i need Starbucks  hehehehehe
1119662,0,@jiminthemorning  phew - it's 667 now!  
1402100,0,Doing Final stuuf and on the compupu! Then working out later! IM at home all day today 
847987,0,"Be like Unicron. Talk slow &amp; calm to assert your will today. Use agonizing pain only in slow, short bursts if compliance isn't immediate. "
816637,0,"I am sitting on the deck outside, enjoying the beautiful weather and writing my Behavior Change Paper for Clinical Psychology! "
1493417,0,"&quot;we're all pretty bizzarre, some of us are just better at hiding it, thats all&quot;- love the breakfast club, so much "
1351651,0,"@warriorblue If you swap out the word conservative for Republican, I'll agree   "
1029954,0,@dewg0ng i have to work mayne. and i already said no. no buttsekz. 
1248549,0,"BBQ was grrrrreeeeeatt yesterday!! Ate 2 burgs, 2 dogs, and two corn on cobs!! YES!! I AM A MONSTER!!  GARRRR "
1538785,0,@nickytc headline show at islington academy the thursday after 
1374533,0,"Finally Googled &quot;Wicked,&quot; the Broadway production I'll be going to in #sanfrancisco tomorrow, looks promising! http://tinyurl.com/oavzoh "
1538751,0,@santo_g12 well 
945567,0,"I need some money, can anyone give me some? "
961030,0,Concert today!  can't wait!
1148077,0,I cant sleep  I feel like a little one on christmas eve.
823916,0,excited to have a life again after this wednesday  then it's play time in the art studio to finish my last 15 monoprints 
1592458,0,@Vegan4Life00 Thank you back 
1253563,0,day is almost over....means almost closer to friday 
1083140,0,Ah ah ah ah ah ahhh!!! I have no words to explain  except happy
1589963,0,@jaredmaine i think ur thinking 
1284462,0,@jupitusphillip is he making you all stand? (or do you have to fight each other for the chair?)     ... perhaps they should change it to
1083496,0,going to The Getaway Plan tonight 
1541282,0,i love the smell of summer rain...even in london 
1235700,0,well.... gonna get in the shower and finish packing!  I will be going through Robecks withdrawls tonight 
1474996,0,@joeymcintyre @JonathanRKnight The others have tinked and I told them g'morning so I thought I'd go ahead and tell you too as well. 
1328737,0,"16 minutes before closing, we made it   @berend @douwesjoerd"
1311110,0,@MsZsaZsa hey! I just got home....awww man it was so much fun! Danced so much! but apparently it's every Tuesday 
1594775,0,Posted my my first piece of JTAPI gyaan on the cuae developer forum 
1436911,0,another fabulous meal with Jim... I love food 
1062115,0,"@ddlovato haha  love you demi, your amazing, please come to Montreal..and thank you for everything  &lt;3 Shea"
1163226,0,on the phone with Sherley who's with natasha and afang's sister 
1359872,0,it's alot of peoples b'day today. the 2 i know are Pete Wentz and Pierre Bouvierre. soo happy birthday to you two awesome dudes 
1410605,0,@lacimwargo ha!!!  Bchyw still applies 
1349999,0,On our way to Pismo Beach for Ashley's Wedding  Lets hope it does not rain.
1512951,0,"Catching the end of the Silence of the Lambs, sore from working on my handmade rug, and excited to see the boy and Kaykay tomorrow. Night "
1076724,0,"jazmine_ haha, you remembered   yesiowe you birthday kisses"
1051147,0,getting ready to leave for GP Seattle     #magic
1120382,0,"OK, Its official i &lt;33 diversity! They've beat flawless no problem "
1555636,0,@sarahintampa I'm so glad you are feeling better. 
824598,0,@DurbinDigital i still need to get those smoke photos to you...i haven't forgotten 
1515275,0,@shaundiviney aww yeah im so there  and i also gots a horeur shirt and preordered stack is teh new black the other day 
1327017,0,"@tcdale @Natazzz anything that Evanescence sings is, per definition, gay in my book. which is good  And that cover is pretty awesome!"
1357159,0,"just polished my boots for tmrws march through the city of Karlstad, it's sweden's national day tmrw!!  and i'm in the military parade "
1406154,0,@theasubala Hindi ko napanood yung NNNN  pero yung 3 stoodents napanood ko  FUNNY!
920019,0,is hang out for dinner with my beloved mother 
1286347,0,"@optimiced (Ð¼Ð¾Ñ?Ñ twti Ð¸Ð¼Ð¿Ð»Ð¸ÑÐ¸ÑÐ½Ð¾ Ð½Ð°Ð¼ÐµÐºÐ²Ð°ÑÐµ, ÑÐµ Ñ?Ð»ÐµÐ´Ð²Ð°ÑÐ¸Ñ? Ð¿ÑÑ Ð²Ð¸Ðµ Ð¿Ð¾ÐµÐ¼Ð°ÑÐµ Ð¸Ð½Ð¸ÑÐ¸Ð°ÑÐ¸Ð²Ð°ÑÐ° Ð·Ð° Ñ?ÑÐµÑÐ°  )"
1507877,0,Hi @dmott70 I sent you an email re: use of your artwork  An exciting partnership is about to be announcedâ¦
898820,0,@cheesemaaster i dyed it purple but it looks pinkish! 
1237587,0,The fear - Lily Allen 
1233979,0,"AAAAH, Tom is online! but he doesn't talk to me "
1567706,0,Forgot About This Loverly SITE!  I did misspell lovely on purpose NOOBS
864998,0,Watching Family Guy in bed 
1367532,0,"@trevdaddy - that's why I love the Zune Pass! I got the new Dave Matthews, Flo Rida, and Eminem albums plus a whole lot more for $15/ mo. "
1400972,0,"@alisonevents ....if they need couture/custom invites, let me know  Love to help! www.rockpaperscissorsdesign.com You do lovely events!"
1336310,0,@musical_musings Lovely!  Hopefully the nice sunshine will help wake you up! 
1180219,0,"@MyPetChelseaa why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,it will help relieve your stress "
1193616,0,@evergreent Hi Mister Green!! 
964264,0,Beach Sex Often #3hotwords 
1367314,0,justin and camillia need to date. then that leaves joe and miley 
1553113,0,@keely_0_o via @Courtney_0_o Yepp!!  well lets stop tweet txting before Emily gets mad!
1410052,0,"@tommcfly cause obviously, the order will be, an egg &amp; a needle &amp; then an ice cream &amp; then a goose &amp; moose &amp; apple juice oooooh yeah!  x"
1033737,0,getting ready for the run 
1226700,0,"up early..gym, shower &amp; then doctor again for shins. TODAYS LAURENS BDAY  yayyyyy!"
1503160,0,@BgirlShorty @SONfan4lyfe and I will blow up his twitter until he steps up his Ning game 
1177071,0,@chiimomo I just learned the best thing ever that will be heaven for me and you! I'll dm you 
967159,0,@JoeiBoots and I didn't mean innocent... I meant we're both believing what we want 
1434027,0,i love @feeno14 for getting Skins and Doug on DVD for his birthday 
1546257,0,Hey @hawkcam Hi hawkoholic! Thanks for report! Glad to see someone keeping an eye on da kids.    (hawkcam live &gt; http://ustre.am/2f9i)
1172443,0,Love Twitter. I take a shower and then go to lunch in a restaurant with enough meat   kisses
1049324,0,Juicing! Feeling surprising good 
1372510,0,Night all... Shopping tomorrow 
867862,0,so bored!! Maybe it's time to turn on my computer since thursday.. 
1468549,0,"http://www.instigatedebate.com/  amazing site, check it out! "
1402410,0,@tracymacy That mockup might  look better than the real deal 
954588,0,"@brazodemercedes When I asked Sophie who was singing, she said David Archuleta. My daughter watches too much TV... "
1528977,0,Haruki have just been featured!   http://bit.ly/17Tuwc
1395368,0,I've met Nathan Fillion  *beams*
1104344,0,"okay i'm trying twittermobile, lets see if this works...  "
933522,0,mm kinda eh mood. tomorrow will be wonderful though  gooodnight.
